segment_index	segment_id	start	end	segment_md	review_md	npc_overlays	scene_titles
01	S06-01	00:00:00,000	00:30:00,000	segments_md/Session_06_2024-06-14_Paxton_and_Shane_segment_01.md	reviews_md/Session_06_2024-06-14_Paxton_and_Shane_segment_01_review.md	Kobayashi	Opening | Friday morning in St. Louis | Crispin recruits Amber for one last look | Preston prepares to fight heaven and loses his nerve | Nobody brings anything angel-baiting
02	S06-02	00:30:00,000	01:00:00,000	segments_md/Session_06_2024-06-14_Paxton_and_Shane_segment_02.md	reviews_md/Session_06_2024-06-14_Paxton_and_Shane_segment_02_review.md	Kobayashi	Cab ride to the basilica | Arrival at the Basilica of St. Louis | Watching the church from the diner | Crispin and Amber approach the church | Inside the basilica | Crispin goes ghost below the church
03	S06-03	01:00:00,000	01:30:00,000	segments_md/Session_06_2024-06-14_Paxton_and_Shane_segment_03.md	reviews_md/Session_06_2024-06-14_Paxton_and_Shane_segment_03_review.md	Kobayashi	Crispin goes ghost below the church | Amber clears out and Preston gets the debrief | Together inside the nave
04	S06-04	01:30:00,000	02:00:00,000	segments_md/Session_06_2024-06-14_Paxton_and_Shane_segment_04.md	reviews_md/Session_06_2024-06-14_Paxton_and_Shane_segment_04_review.md	Kobayashi	Together inside the nave | Down in the sepulcher
05	S06-05	02:00:00,000	02:30:00,000	segments_md/Session_06_2024-06-14_Paxton_and_Shane_segment_05.md	reviews_md/Session_06_2024-06-14_Paxton_and_Shane_segment_05_review.md	Kobayashi,Hotel_Concierge	Down in the sepulcher
